Street,PeopleInAccidents,PIA_Scaled,SpeedDiffFromLimit,SDFL_Scaled,Score_Scaled,Tier,,,,
EL CAMINO DEL MAR,1,0.209,0.000,0.000,99.79079498,A,,,,
EUCALYPTUS ST,1,0.209,0.000,0.000,99.79079498,A,,,,
EUGENIA AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
EVELYN WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
EWING TER,1,0.209,0.000,0.000,99.79079498,A,,,,
EXECUTIVE PARK BLVD,1,0.209,0.000,0.000,99.79079498,A,,,,
FALMOUTH ST,1,0.209,0.000,0.000,99.79079498,A,,,,
FLOOD AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
FORD ST,1,0.209,0.000,0.000,99.79079498,A,,,,
FOREST SIDE AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
FRIEDELL ST,1,0.209,0.000,0.000,99.79079498,A,,,,
FUNSTON ST,1,0.209,0.000,0.000,99.79079498,A,,,,
GALLAGHER LN,1,0.209,0.000,0.000,99.79079498,A,,,,
GARDENSIDE DR,1,0.209,0.000,0.000,99.79079498,A,,,,
GATES ST,1,0.209,0.000,0.000,99.79079498,A,,,,
GENEBERN WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
GOLD ST,1,0.209,0.000,0.000,99.79079498,A,,,,
GOULD ST,1,0.209,0.000,0.000,99.79079498,A,,,,
GRANADA AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
GUTTENBERG ST,1,0.209,0.000,0.000,99.79079498,A,,,,
HANOVER ST,1,0.209,0.000,0.000,99.79079498,A,,,,
HARDING ROAD,1,0.209,0.000,0.000,99.79079498,A,,,,
HARLEM ALY,1,0.209,0.000,0.000,99.79079498,A,,,,
HAROLD AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
HARVARD ST,1,0.209,0.000,0.000,99.79079498,A,,,,
HEMLOCK ST,1,0.209,0.000,0.000,99.79079498,A,,,,
HIGHLAND AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
HIGUERA AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
HUGO ST,1,0.209,0.000,0.000,99.79079498,A,,,,
HUNTERS POINT EXPY,1,0.209,0.000,0.000,99.79079498,A,,,,
I-80 E OFF RAMP,1,0.209,0.000,0.000,99.79079498,A,,,,
I-80 WESTBOUND,1,0.209,0.000,0.000,99.79079498,A,,,,
JARBOE AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
JESSIE WEST ST,1,0.209,0.000,0.000,99.79079498,A,,,,
JOSIAH AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
JUNIPERO SERRA BLVD ON RAMP,1,0.209,0.000,0.000,99.79079498,A,,,,
KAMILLE CT,1,0.209,0.000,0.000,99.79079498,A,,,,
KEY AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
KEYSTONE WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
LANSING ST,1,0.209,0.000,0.000,99.79079498,A,,,,
LAPIDGE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
LASKIE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
LATHROP AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
LAUREN CT,1,0.209,0.000,0.000,99.79079498,A,,,,
LAWRENCE AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
LEGION OF HONOR DR,1,0.209,0.000,0.000,99.79079498,A,,,,
LEVANT ST,1,0.209,0.000,0.000,99.79079498,A,,,,
LILAC ST,1,0.209,0.000,0.000,99.79079498,A,,,,
LILY ST,1,0.209,0.000,0.000,99.79079498,A,,,,
LIPPARD AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
LONE MOUNTAIN TER,1,0.209,0.000,0.000,99.79079498,A,,,,
LONG BRIDGE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
LUPINE AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
LYDIA AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
MADDUX AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
MADISON ST,1,0.209,0.000,0.000,99.79079498,A,,,,
MAJESTIC AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
MALLORCA WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
MAPLE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
MARINA GREEN DR,1,0.209,0.000,0.000,99.79079498,A,,,,
MARION PL,1,0.209,0.000,0.000,99.79079498,A,,,,
MARNE AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
MARS ST,1,0.209,0.000,0.000,99.79079498,A,,,,
MATEO ST,1,0.209,0.000,0.000,99.79079498,A,,,,
MELROSE AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
MERRILL ST,1,0.209,0.000,0.000,99.79079498,A,,,,
MERRIMAC ST,1,0.209,0.000,0.000,99.79079498,A,,,,
METSON RD,1,0.209,0.000,0.000,99.79079498,A,,,,
MINERVA ST,1,0.209,0.000,0.000,99.79079498,A,,,,
MISSION BAY CIR,1,0.209,0.000,0.000,99.79079498,A,,,,
MORRELL PL,1,0.209,0.000,0.000,99.79079498,A,,,,
NAHUA AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
NAVY RD,1,0.209,0.000,0.000,99.79079498,A,,,,
NELLIE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
NEPTUNE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
NEVADA ST,1,0.209,0.000,0.000,99.79079498,A,,,,
NORFOLK ST,1,0.209,0.000,0.000,99.79079498,A,,,,
NORTON ST,1,0.209,0.000,0.000,99.79079498,A,,,,
O'FARRELL ST,1,0.209,0.000,0.000,99.79079498,A,,,,
OAKWOOD ST,1,0.209,0.000,0.000,99.79079498,A,,,,
ODD FELLOWS WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
OGDEN AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
OLIVER ST,1,0.209,0.000,0.000,99.79079498,A,,,,
ORD ST,1,0.209,0.000,0.000,99.79079498,A,,,,
ORDWAY ST,1,0.209,0.000,0.000,99.79079498,A,,,,
OSCEOLA LANE,1,0.209,0.000,0.000,99.79079498,A,,,,
OTSEGO AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
PARK ST,1,0.209,0.000,0.000,99.79079498,A,,,,
PARQUE DR,1,0.209,0.000,0.000,99.79079498,A,,,,
PATTERSON ST,1,0.209,0.000,0.000,99.79079498,A,,,,
PIOCHE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
POLARIS WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
POLLARD PL,1,0.209,0.000,0.000,99.79079498,A,,,,
POWHATTAN AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
PRETOR WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
PROSPECT AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
QUINCY ST,1,0.209,0.000,0.000,99.79079498,A,,,,
RALSTON ST,1,0.209,0.000,0.000,99.79079498,A,,,,
RAMSELL ST,1,0.209,0.000,0.000,99.79079498,A,,,,
RAUSCH ST,1,0.209,0.000,0.000,99.79079498,A,,,,
RAYMOND AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
REDDY ST,1,0.209,0.000,0.000,99.79079498,A,,,,
RETIRO WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
REUEL CT,1,0.209,0.000,0.000,99.79079498,A,,,,
RIDGEWOOD AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
RINCON ST,1,0.209,0.000,0.000,99.79079498,A,,,,
RINGOLD ST,1,0.209,0.000,0.000,99.79079498,A,,,,
RIO VERDE ST,1,0.209,0.000,0.000,99.79079498,A,,,,
RONDEL PL,1,0.209,0.000,0.000,99.79079498,A,,,,
ROSELYN TERRACE,1,0.209,0.000,0.000,99.79079498,A,,,,
ROSENKRANZ ST,1,0.209,0.000,0.000,99.79079498,A,,,,
SAINT FRANCIS BLVD,1,0.209,0.000,0.000,99.79079498,A,,,,
SAINT GEORGE ALY,1,0.209,0.000,0.000,99.79079498,A,,,,
SAN ANSELMO AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
SAN BENITO WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
SAN BRUNO AV OFF RAMP,1,0.209,0.000,0.000,99.79079498,A,,,,
SAN BRUNO AV ON RAMP,1,0.209,0.000,0.000,99.79079498,A,,,,
SAN JOSE AV OFF RAMP,1,0.209,0.000,0.000,99.79079498,A,,,,
SAN JOSE AV ON RAMP,1,0.209,0.000,0.000,99.79079498,A,,,,
SAN LEANDRO WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
SARGENT ST,1,0.209,0.000,0.000,99.79079498,A,,,,
SCHWERIN ST,1,0.209,0.000,0.000,99.79079498,A,,,,
SCOTIA AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
SEE NARRATIVE,1,0.209,0.000,0.000,99.79079498,A,,,,
SERRANO DR,1,0.209,0.000,0.000,99.79079498,A,,,,
SHAWNEE AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
SHERIDAN ST,1,0.209,0.000,0.000,99.79079498,A,,,,
SIXTH ST,1,0.209,0.000,0.000,99.79079498,A,,,,
SOUTHWOOD DR,1,0.209,0.000,0.000,99.79079498,A,,,,
SPRING ST,1,0.209,0.000,0.000,99.79079498,A,,,,
STAPLES AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
STEUART ST,1,0.209,0.000,0.000,99.79079498,A,,,,
SUMMIT WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
SUNVIEW DR,1,0.209,0.000,0.000,99.79079498,A,,,,
SUTRO HEIGHTS AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
SWEENY ST,1,0.209,0.000,0.000,99.79079498,A,,,,
SYLVAN DR,1,0.209,0.000,0.000,99.79079498,A,,,,
TARA ST,1,0.209,0.000,0.000,99.79079498,A,,,,
TELEGRAPH HILL BLVD,1,0.209,0.000,0.000,99.79079498,A,,,,
TEXAS ST,1,0.209,0.000,0.000,99.79079498,A,,,,
THOMAS MORE WAY,1,0.209,0.000,0.000,99.79079498,A,,,,
TUNNEL AVE,1,0.209,0.000,0.000,99.79079498,A,,,,
ULLOA,1,0.209,0.000,0.000,99.79079498,A,,,,
UNNAMED 042,1,0.209,0.000,0.000,99.79079498,A,,,,
VALERTON CT,1,0.209,0.000,0.000,99.79079498,A,,,,
