Street,PeopleInAccidents,PIA_Scaled,SpeedDiffFromLimit,SDFL_Scaled,Score_Scaled,Tier
Granada Ave,1,0.209,0.000,0.000,99.79079498,A
Guttenberg St,1,0.209,0.000,0.000,99.79079498,A
Hanover St,1,0.209,0.000,0.000,99.79079498,A
Harding Road,1,0.209,0.000,0.000,99.79079498,A
Harlem Aly,1,0.209,0.000,0.000,99.79079498,A
Harold Ave,1,0.209,0.000,0.000,99.79079498,A
Harvard St,1,0.209,0.000,0.000,99.79079498,A
Hemlock St,1,0.209,0.000,0.000,99.79079498,A
Highland Ave,1,0.209,0.000,0.000,99.79079498,A
Higuera Ave,1,0.209,0.000,0.000,99.79079498,A
Hugo St,1,0.209,0.000,0.000,99.79079498,A
Hunters Point Expy,1,0.209,0.000,0.000,99.79079498,A
I-80 E Off Ramp,1,0.209,0.000,0.000,99.79079498,A
I-80 Westbound,1,0.209,0.000,0.000,99.79079498,A
Jarboe Ave,1,0.209,0.000,0.000,99.79079498,A
Jessie West St,1,0.209,0.000,0.000,99.79079498,A
Josiah Ave,1,0.209,0.000,0.000,99.79079498,A
Junipero Serra Blvd On Ramp,1,0.209,0.000,0.000,99.79079498,A
Kamille Ct,1,0.209,0.000,0.000,99.79079498,A
Key Ave,1,0.209,0.000,0.000,99.79079498,A
Keystone Way,1,0.209,0.000,0.000,99.79079498,A
Lansing St,1,0.209,0.000,0.000,99.79079498,A
Lapidge St,1,0.209,0.000,0.000,99.79079498,A
Laskie St,1,0.209,0.000,0.000,99.79079498,A
Lathrop Ave,1,0.209,0.000,0.000,99.79079498,A
Lauren Ct,1,0.209,0.000,0.000,99.79079498,A
Lawrence Ave,1,0.209,0.000,0.000,99.79079498,A
Legion Of Honor Dr,1,0.209,0.000,0.000,99.79079498,A
Levant St,1,0.209,0.000,0.000,99.79079498,A
Lilac St,1,0.209,0.000,0.000,99.79079498,A
Lily St,1,0.209,0.000,0.000,99.79079498,A
Lippard Ave,1,0.209,0.000,0.000,99.79079498,A
Lone Mountain Ter,1,0.209,0.000,0.000,99.79079498,A
Long Bridge St,1,0.209,0.000,0.000,99.79079498,A
Lupine Ave,1,0.209,0.000,0.000,99.79079498,A
Lydia Ave,1,0.209,0.000,0.000,99.79079498,A
Maddux Ave,1,0.209,0.000,0.000,99.79079498,A
Madison St,1,0.209,0.000,0.000,99.79079498,A
Majestic Ave,1,0.209,0.000,0.000,99.79079498,A
Mallorca Way,1,0.209,0.000,0.000,99.79079498,A
Maple St,1,0.209,0.000,0.000,99.79079498,A
Marina Green Dr,1,0.209,0.000,0.000,99.79079498,A
Marion Pl,1,0.209,0.000,0.000,99.79079498,A
Marne Ave,1,0.209,0.000,0.000,99.79079498,A
Mars St,1,0.209,0.000,0.000,99.79079498,A
Mateo St,1,0.209,0.000,0.000,99.79079498,A
Melrose Ave,1,0.209,0.000,0.000,99.79079498,A
Merrill St,1,0.209,0.000,0.000,99.79079498,A
Merrimac St,1,0.209,0.000,0.000,99.79079498,A
Metson Rd,1,0.209,0.000,0.000,99.79079498,A
Minerva St,1,0.209,0.000,0.000,99.79079498,A
Mission Bay Cir,1,0.209,0.000,0.000,99.79079498,A
Morrell Pl,1,0.209,0.000,0.000,99.79079498,A
Nahua Ave,1,0.209,0.000,0.000,99.79079498,A
Navy Rd,1,0.209,0.000,0.000,99.79079498,A
Nellie St,1,0.209,0.000,0.000,99.79079498,A
Neptune St,1,0.209,0.000,0.000,99.79079498,A
Nevada St,1,0.209,0.000,0.000,99.79079498,A
Norfolk St,1,0.209,0.000,0.000,99.79079498,A
Norton St,1,0.209,0.000,0.000,99.79079498,A
O'farrell St,1,0.209,0.000,0.000,99.79079498,A
Oakwood St,1,0.209,0.000,0.000,99.79079498,A
Odd Fellows Way,1,0.209,0.000,0.000,99.79079498,A
Ogden Ave,1,0.209,0.000,0.000,99.79079498,A
Oliver St,1,0.209,0.000,0.000,99.79079498,A
